DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
Guatemala,Guatemala,Diciembre,2016.0,3.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Argentina,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de la enseñanza
Guatemala,Guatemala,Agosto,2016.0,17.0,Mayo,Guatemala,Guatemala,58.0,Ignorado,Ignorado,Ignorado,Argentina,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,No especificado en otro grupo
Peten,Flores,Agosto,2016.0,11.0,Agosto,Guatemala,Guatemala,61.0,53.0,Ignorado,Ignorado,Argentina,Guatemala,Ninguno,Ninguno,Ignorado,Ignorado
Guatemala,Guatemala,Marzo,2017.0,7.0,Octubre,Guatemala,Guatemala,39.0,38.0,Ignorado,Mestizo / Ladino,Austria,Guatemala,Ignorado,Universitario,Vendedores,"Profesionales en derecho, en ciencias sociales y culturales"
Zacapa,Teculután,Febrero,2017.0,23.0,Noviembre,El Progreso,Sanarate,Ignorado,Ignorado,Ignorado,Ignorado,Chile,Guatemala,Ignorado,Ignorado,"Oficiales y operarios de la metalurgia, la construcción mecánica y afines",No especificado en otro grupo
Guatemala,Guatemala,Octubre,2016.0,18.0,Marzo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Chile,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Julio,2016.0,11.0,Abril,Guatemala,Guatemala,54.0,28.0,Ignorado,Mestizo / Ladino,Colombia,Guatemala,Ignorado,Diversificado,Ignorado,Vendedores
Guatemala,Guatemala,Febrero,2017.0,6.0,Diciembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Colombia,Guatemala,Ignorado,Ignorado,"Profesionales en derecho, en ciencias sociales y culturales",No especificado en otro grupo
Guatemala,Guatemala,Septiembre,2016.0,29.0,Agosto,Guatemala,Guatemala,27.0,28.0,Ignorado,Mestizo / Ladino,Colombia,Guatemala,Ignorado,Universitario,"Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines",No especificado en otro grupo
Guatemala,Guatemala,Abril,2016.0,8.0,Enero,Guatemala,Guatemala,37.0,37.0,Ignorado,Mestizo / Ladino,Colombia,Rusia,Ignorado,Ninguno,Ignorado,Ignorado
Guatemala,Guatemala,Septiembre,2016.0,6.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Costa Rica,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de las ciencias y de la ingeniería
Guatemala,Guatemala,Mayo,2016.0,17.0,Marzo,Guatemala,Guatemala,Ignorado,54.0,Ignorado,Ignorado,Costa Rica,Colombia,Ignorado,Ignorado,No especificado en otro grupo,Oficinistas
Guatemala,Guatemala,Enero,2017.0,25.0,Julio,Guatemala,Guatemala,50.0,43.0,Mestizo / Ladino,Mestizo / Ladino,Costa Rica,Guatemala,Universitario,Universitario,No especificado en otro grupo,Otro personal de apoyo administrativo
Guatemala,Guatemala,Octubre,2016.0,8.0,Junio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Costa Rica,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Trabajadores de los servicios personales
Guatemala,Guatemala,Febrero,2017.0,19.0,Septiembre,Guatemala,Guatemala,62.0,Ignorado,Ignorado,Ignorado,Costa Rica,Guatemala,Ignorado,Ignorado,Vendedores,No especificado en otro grupo
Guatemala,Guatemala,Marzo,2016.0,21.0,Enero,Guatemala,Mixco,Ignorado,42.0,Ignorado,Mestizo / Ladino,Cuba,Guatemala,Ignorado,Universitario,Profesionales de nivel medio de la salud,Profesionales de la salud
San Marcos,Malacatán,Diciembre,2016.0,27.0,Junio,Guatemala,Guatemala,20.0,23.0,Ignorado,Mestizo / Ladino,Cuba,Guatemala,Ignorado,Diversificado,No especificado en otro grupo,No especificado en otro grupo
Jutiapa,Jutiapa,Abril,2016.0,5.0,Abril,Izabal,El Estor,Ignorado,Ignorado,Ignorado,Ignorado,Cuba,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Enero,2017.0,6.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Cuba,Guatemala,Ninguno,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Abril,2016.0,15.0,Marzo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Dinamarca,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Profesionales de las ciencias y de la ingeniería
Guatemala,Guatemala,Noviembre,2016.0,1.0,Septiembre,Guatemala,Guatemala,39.0,37.0,Ignorado,Mestizo / Ladino,El Salvador,Guatemala,Ignorado,Diversificado,Profesionales de las ciencias y la ingeniería de nivel medio,Otro personal de apoyo administrativo
Guatemala,Guatemala,Septiembre,2016.0,22.0,Julio,Guatemala,Guatemala,66.0,47.0,Ignorado,Ignorado,El Salvador,Guatemala,Ignorado,Ignorado,Empleados contables y encargados del registro de materiales,Oficinistas
Guatemala,Guatemala,Diciembre,2016.0,3.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,El Salvador,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,Oficinistas
Izabal,Puerto Barrios,Marzo,2016.0,18.0,Febrero,Izabal,Livingston,59.0,56.0,Mestizo / Ladino,Mestizo / Ladino,El Salvador,Guatemala,Ignorado,Ignorado,"Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines",No especificado en otro grupo
Jutiapa,El Progreso,Junio,2016.0,4.0,Mayo,Jutiapa,El Progreso,61.0,46.0,Mestizo / Ladino,Mestizo / Ladino,El Salvador,Guatemala,Ignorado,Primaria,"Peones agropecuarios, pesqueros y forestales",No especificado en otro grupo
Guatemala,Guatemala,Octubre,2016.0,22.0,Julio,Guatemala,Villa Nueva,26.0,29.0,Mestizo / Ladino,Mestizo / Ladino,El Salvador,Guatemala,Ignorado,Diversificado,No especificado en otro grupo,No especificado en otro grupo
Guatemala,Guatemala,Agosto,2016.0,23.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,El Salvador,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,No especificado en otro grupo
Guatemala,Guatemala,Abril,2016.0,15.0,Febrero,Guatemala,Guatemala,36.0,37.0,Ignorado,Mestizo / Ladino,El Salvador,Guatemala,Ignorado,Post Grado,No especificado en otro grupo,No especificado en otro grupo
Guatemala,Villa Nueva,Marzo,2016.0,17.0,Febrero,Guatemala,Villa Nueva,30.0,26.0,Mestizo / Ladino,Mestizo / Ladino,El Salvador,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,No especificado en otro grupo
Guatemala,Guatemala,Febrero,2017.0,19.0,Diciembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,El Salvador,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,No especificado en otro grupo
Guatemala,Guatemala,Noviembre,2016.0,13.0,Abril,Sacatepequez,Antigua Guatemala,44.0,Ignorado,Mestizo / Ladino,Ignorado,El Salvador,Guatemala,Universitario,Ignorado,Profesionales de nivel medio en operaciones financieras y administrativas,Ignorado
Escuintla,La Democracia,Febrero,2017.0,21.0,Noviembre,Escuintla,La Democracia,Ignorado,Ignorado,Mestizo / Ladino,Ignorado,El Salvador,Guatemala,Diversificado,Ignorado,No especificado en otro grupo,Ignorado
Chiquimula,Ipala,Diciembre,2016.0,3.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,El Salvador,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Chiquimula,Quetzaltepeque,Agosto,2016.0,1.0,Abril,Chiquimula,Quetzaltepeque,Ignorado,Ignorado,Ignorado,Ignorado,El Salvador,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado
Guatemala,Guatemala,Septiembre,2016.0,6.0,Julio,Guatemala,Guatemala,51.0,42.0,Ignorado,Mestizo / Ladino,Alemania,Guatemala,Ignorado,Universitario,Ignorado,Directores administradores y comerciales
Guatemala,Guatemala,Marzo,2017.0,22.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Alemania,Guatemala,Ignorado,Ignorado,Artesanos y operarios de las artes gráficas,Trabajadores de los servicios personales
Guatemala,Guatemala,Febrero,2017.0,21.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Alemania,El Salvador,Ignorado,Ignorado,"Profesionales en derecho, en ciencias sociales y culturales",No especificado en otro grupo
Guatemala,Guatemala,Marzo,2017.0,29.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Alemania,Guatemala,Ignorado,Ignorado,No especificado en otro grupo,No especificado en otro grupo
Guatemala,Guatemala,Febrero,2017.0,16.0,Junio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Universitario,Universitario,Profesionales de las ciencias y de la ingeniería,Directores administradores y comerciales
Guatemala,Guatemala,Febrero,2017.0,22.0,Septiembre,Guatemala,Guatemala,58.0,52.0,Mestizo / Ladino,Mestizo / Ladino,Guatemala,Guatemala,Post Grado,Diversificado,Especialistas en organización de la administración publica y de empresas,Directores administradores y comerciales
Guatemala,Guatemala,Mayo,2016.0,22.0,Marzo,Guatemala,Guatemala,34.0,35.0,Mestizo / Ladino,Mestizo / Ladino,Guatemala,Guatemala,Diversificado,Universitario,"Profesionales en derecho, en ciencias sociales y culturales",Directores administradores y comerciales
Jutiapa,Jutiapa,Noviembre,2016.0,13.0,Septiembre,Jutiapa,Jutiapa,32.0,35.0,Mestizo / Ladino,Mestizo / Ladino,Guatemala,Guatemala,Diversificado,Universitario,Profesionales de nivel medio en operaciones financieras y administrativas,Directores administradores y comerciales
Guatemala,Villa Nueva,Agosto,2016.0,20.0,Julio,Guatemala,Guatemala,34.0,33.0,Mestizo / Ladino,Mestizo / Ladino,Guatemala,Guatemala,Diversificado,Diversificado,Profesionales de nivel medio en operaciones financieras y administrativas,Directores administradores y comerciales
Guatemala,Guatemala,Julio,2016.0,30.0,Mayo,Guatemala,Guatemala,53.0,44.0,Mestizo / Ladino,Mestizo / Ladino,Guatemala,Guatemala,Diversificado,Universitario,"Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines",Directores administradores y comerciales
