DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
Guatemala,Guatemala,Enero,2023.0,14.0,Diciembre,Guatemala,Guatemala,38.0,43.0,Ignorado,"Mestizo, Ladino",Canadá,Guatemala,Ignorado,Universitario,Oficiales de las fuerzas armadas,Oficiales de las fuerzas armadas
Guatemala,Villa Nueva,Septiembre,2022.0,16.0,Agosto,Guatemala,Guatemala,30.0,35.0,"Mestizo, Ladino","Mestizo, Ladino",Guatemala,Guatemala,Ignorado,Universitario,Oficiales de las fuerzas armadas,"Profesionales en derecho, en ciencias sociales y culturales"
Zacapa,Zacapa,Enero,2023.0,7.0,Diciembre,Guatemala,Guatemala,33.0,30.0,"Mestizo, Ladino","Mestizo, Ladino",Guatemala,Guatemala,Universitario,Universitario,Oficiales de las fuerzas armadas,"Profesionales en derecho, en ciencias sociales y culturales"
Guatemala,Guatemala,Octubre,2022.0,20.0,Septiembre,Guatemala,Guatemala,34.0,32.0,"Mestizo, Ladino","Mestizo, Ladino",Guatemala,Guatemala,Universitario,Diversificado,Oficiales de las fuerzas armadas,Oficinistas
Guatemala,Guatemala,Diciembre,2022.0,28.0,Noviembre,Guatemala,Guatemala,31.0,24.0,"Mestizo, Ladino","Mestizo, Ladino",Guatemala,Guatemala,Universitario,Diversificado,Oficiales de las fuerzas armadas,Empleados contables y encargados del registro de materiales
Guatemala,Guatemala,Marzo,2023.0,14.0,Noviembre,Guatemala,Guatemala,32.0,32.0,"Mestizo, Ladino","Mestizo, Ladino",Guatemala,Guatemala,Universitario,Diversificado,Oficiales de las fuerzas armadas,Empleados contables y encargados del registro de materiales
Guatemala,Guatemala,Enero,2023.0,6.0,Diciembre,Guatemala,Guatemala,35.0,24.0,"Mestizo, Ladino","Mestizo, Ladino",Guatemala,Guatemala,Universitario,Diversificado,Oficiales de las fuerzas armadas,No especificado en otro grupo
Retalhuleu,Retalhuleu,Marzo,2022.0,28.0,Febrero,Retalhuleu,Retalhuleu,34.0,34.0,"Mestizo, Ladino","Mestizo, Ladino",Guatemala,Guatemala,Ignorado,Diversificado,Oficiales de las fuerzas armadas,Profesionales de la enseñanza
Chiquimula,Chiquimula,Marzo,2023.0,24.0,Agosto,Chiquimula,Chiquimula,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Bélgica,Ignorado,Ignorado,Oficiales de las fuerzas armadas,No especificado en otro grupo
Retalhuleu,Retalhuleu,Abril,2022.0,7.0,Abril,Guatemala,Mixco,39.0,41.0,Ignorado,"Mestizo, Ladino",Guatemala,Guatemala,Ignorado,Universitario,Oficiales de las fuerzas armadas,Oficiales de las fuerzas armadas
Guatemala,Guatemala,Marzo,2022.0,21.0,Febrero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Otros miembros de las fuerzas armadas,Profesionales de la enseñanza
